Account ID,Rate_Plan,Billing Year,Billing Month,Billing Day,Amount
krp_1townps,krp_2mbps-30gb,2019,2,9,550
krp_a1travels,Krp-1mbps-Night,2021,1,2,550
krp_a1xerox,krp_512kbps_Midnight,2020,12,13,550
krp_a4digitals,krp-10mbps-ult,2020,12,1,550
krp_aakumar,krp-10mbps-ult,2021,7,12,550
krp_aamarnath,krp-10mbps-ult,2021,4,16,550
krp_aanusha,krp-15mbps-ult,2021,3,8,650
krp_aaruna,krp-1mbps,2021,3,12,550
krp_aarunraj,krp-10mbps-ult,2020,6,30,550
krp_aashok,krp-1mbps,2019,2,8,550
krp_abdulhaq,krp-20mbps-70gb@1mbps,2020,12,25,550
krp_abdulla,krp_512kbps_Midnight,2021,1,1,550
krp_abdullathif,krp_512kbps_Midnight,2020,11,1,550
krp_abdulnabi,krp-10mbps-90gb,2021,9,7,550
krp_abdulsuban,krp-10mbps-ult,2021,6,3,550
krp_abhibulla,krp-10mbps-120gb,2020,4,7,650
krp_abhibulla1,krp-10mbps-120gb,2020,4,1,650
krp_abhilash,krp-15mbps-ult,2021,1,15,650
krp_abhinay,krp-10mbps-ult,2021,3,19,550
krp_abhiraghav,krp-15mbps-ult,2020,12,28,850
krp_accwearhouse,krp-10mbps-ult,2021,6,27,550
krp_achalapathi,krp-10mbps-ult,2018,11,30,550
krp_ackreddy,krp-15mbps-ult,2020,7,11,650
krp_acreddy,krp-10mbps-ult,2021,3,19,550
krp_acsrao,krp-20mbps-ult,2021,1,7,550
krp_acsrayudu,krp_2mbps-30gb@1mbps,2021,1,8,550
krp_acstoffice,krp-10mbps-ult,2021,9,24,550
krp_adarsh,krp-10mbps-ult,2021,1,6,550
krp_adevid,krp-10mbps-ult,2020,12,29,550
krp_adhanunjaya,10mbps-150gb,2021,1,3,850
krp_adhityatowers,krp-10mbps-ult,2019,10,24,550
krp_adhyaconstructions,krp-15mbps-ult,2021,1,15,650
krp_advent,krp-10mbps-ult,2021,1,21,550
krp_agavaskar,krp-10mbps-ult,2021,5,7,550
krp_ahaari,krp-3mbps-60gb,2020,12,27,550
krp_ahammadbasha,krp-10mbps-ult,2021,2,11,500
krp_ahareesh,krp-10mbps-ult,2021,5,29,550
krp_aharish,krp_512kbps_Midnight,2021,9,9,600
krp_aharishkumar,krp-10mbps-ult,2020,12,19,550
